"","X.1","X","prod_name","pantry","refrigerator","freezer","splitlen","status","new_prod","raw_prod","pantry_times","pantry_num","pantry_min","pantry_max","pantry_mult","pantry_mindays","pantry_maxdays","refrigerator_times","refrigerator_num","refrigerator_min","refrigerator_max","refrigerator_mult","refrigerator_mindays","refrigerator_maxdays","freezer_times","freezer_num","freezer_min","freezer_max","freezer_mult","freezer_mindays","freezer_maxdays","new_status","new_status_2"
"15",15,"http://www.stilltasty.com/searchitems/index/261.href"," APRICOT NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED — UNOPENED","12-18 months",NA,"8-12 months",2,"UNOPENED"," APRICOT NECTAR, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED"," APRICOT NECTAR","months","12-18",12,18,30,360,540,NA,NA,NA,NA,NA,NA,NA,"months","8-12",8,12,30,240,360,"UNOPENED","UNOPENED"
"16",16,"http://www.stilltasty.com/searchitems/index/261.href"," APRICOTS — COMMERCIALLY FROZEN",NA,NA,"1 year",2,"COMMERCIALLY FROZEN"," APRICOTS"," APRICOTS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"year","1",1,1,365,365,365,"COMMERCIALLY FROZEN","FROZEN"
"17",17,"http://www.stilltasty.com/searchitems/index/261.href"," APRICOTS — FRESH, RAW, CUT UP",NA,"3-4 days","10-12 months",2,"FRESH, RAW, CUT UP"," APRICOTS"," APRICOTS",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,"months","10-12",10,12,30,300,360,"FRESH, RAW, CUT UP","FRESH, RAW"
"18",18,"http://www.stilltasty.com/searchitems/index/261.href"," APRICOTS — FRESH, RAW, WHOLE","1-3 days or until ripe","4-5 days once ripe","10-12 months",2,"FRESH, RAW, WHOLE"," APRICOTS"," APRICOTS","days","1-3",1,3,1,1,3,"days","4-5",4,5,1,4,5,"months","10-12",10,12,30,300,360,"FRESH, RAW, WHOLE",NA
"19",19,"http://www.stilltasty.com/searchitems/index/261.href"," APRICOTS, CANDIED — UNOPENED OR OPENED PACKAGE","12 months",NA,NA,2,"UNOPENED OR OPENED PACKAGE"," APRICOTS, CANDIED"," APRICOTS","months","12",12,12,30,360,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED OR OPENED PACKAGE",NA
"20",20,"http://www.stilltasty.com/searchitems/index/261.href"," APRICOTS, COMMERCIALLY CANNED OR BOTTLED — OPENED",NA,"5-7 days","1-2 months",2,"OPENED"," APRICOTS, COMMERCIALLY CANNED OR BOTTLED"," APRICOTS",NA,NA,NA,NA,NA,NA,NA,"days","5-7",5,7,1,5,7,"months","1-2",1,2,30,30,60,"OPENED","OPENED"
"21",21,"http://www.stilltasty.com/searchitems/index/261.href"," APRICOTS, COMMERCIALLY CANNED OR BOTTLED — UNOPENED","12-18 months",NA,NA,2,"UNOPENED"," APRICOTS, COMMERCIALLY CANNED OR BOTTLED"," APRICOTS","months","12-18",12,18,30,360,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNOPENED","UNOPENED"
"22",22,"http://www.stilltasty.com/searchitems/index/261.href"," APRICOTS, DRIED — UNOPENED OR OPENED PACKAGE","6-12 months","6-12 months","12-18 months",2,"UNOPENED OR OPENED PACKAGE"," APRICOTS, DRIED"," APRICOTS","months","6-12",6,12,30,180,360,"months","6-12",6,12,30,180,360,"months","12-18",12,18,30,360,540,"UNOPENED OR OPENED PACKAGE",NA
"23",23,"http://www.stilltasty.com/searchitems/index/261.href"," AVOCADOS — FRESH, RAW, CUT UP",NA,"2-3 days","3-6 months",2,"FRESH, RAW, CUT UP"," AVOCADOS"," AVOCADOS",NA,NA,NA,NA,NA,NA,NA,"days","2-3",2,3,1,2,3,"months","3-6",3,6,30,90,180,"FRESH, RAW, CUT UP","FRESH, RAW"
"24",24,"http://www.stilltasty.com/searchitems/index/261.href"," AVOCADOS — FRESH, RAW, WHOLE","4-7 days or until ripe","3-5 days once ripe","3-6 months",2,"FRESH, RAW, WHOLE"," AVOCADOS"," AVOCADOS","days","4-7",4,7,1,4,7,"days","3-5",3,5,1,3,5,"months","3-6",3,6,30,90,180,"FRESH, RAW, WHOLE",NA
"25",25,"http://www.stilltasty.com/searchitems/index/261.href"," BANANAS — FRESH, RAW, CUT UP",NA,"3-4 days","2-3 months",2,"FRESH, RAW, CUT UP"," BANANAS"," BANANAS",NA,NA,NA,NA,NA,NA,NA,"days","3-4",3,4,1,3,4,"months","2-3",2,3,30,60,90,"FRESH, RAW, CUT UP","FRESH, RAW"
